incident,date-time,year,date-no year,location,res hall,alcohol
PROPERTY DAMAGE,7/12/17 14:49,2017,07/12,BAITY HILL UNC,NA,
VOLUNTARY COMMITMENT,7/12/18 0:03,2018,07/12,SASB NORTH UNC,NA,
CARRYING A CONCEALED WEAPON,7/12/18 15:44,2018,07/12,COBB RES HALL UNC,RES HALL,
LOST PROPERTY,7/12/18 16:16,2018,07/12,WENDYS AT STUDENT UNION UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/12/18 19:31,2018,07/12,PUBLIC SAFETY BUILDING UNC,NA,
FOUND PROPERTY,7/12/18 20:26,2018,07/12,SWAIN UNC,NA,
WARNING OF TRESPASS,7/13/13 13:46,2013,07/13,VAN HECKE WETTACH UNC,NA,
DOMESTIC VERBAL DISPUTE,7/13/13 23:18,2013,07/13,DOGWOOD PARKING DECK UNC,NA,
EMS ASSIST,7/13/14 1:52,2014,07/13,HYDE HALL UNC,NA,
EMS ASSIST,7/13/15 0:00,2015,07/13,WILSON LIBRARY UNC,NA,
,7/13/15 0:00,2015,07/13,PUBLIC SAFETY BUILDING UNC,NA,
,7/13/15 0:00,2015,07/13,WILSON LIBRARY UNC,NA,
LARCENY - FROM BUILDING,7/13/15 14:02,2015,07/13,HANES UNC,NA,
TRESPASSING,7/13/15 18:57,2015,07/13,WOOLLEN GYM UNC,NA,
EMS ASSIST,7/13/16 13:04,2016,07/13,LENOIR UNC,NA,
LARCENY-ALL OTHER,7/13/16 13:13,2016,07/13,HOSPITALS UNIV OF NC UNC,NA,
BURGLARY- NON-FORCED ENTRY (STRUCTURES),7/13/16 23:28,2016,07/13,COBB RES HALL UNC,RES HALL,
ASSIST AGENCY,7/13/16 7:31,2016,07/13,OLD CLINIC UNC,NA,
ASSIST OTHER AGENCY,7/13/17 0:00,2017,07/13,PUBLIC SAFETY BUILDING UNC,NA,
EMS ASSIST,7/13/17 0:00,2017,07/13,PHILLIPS UNC,NA,
,7/13/17 0:00,2017,07/13,CAROLINA INN UNC,NA,
,7/13/17 0:00,2017,07/13,PHILLIPS UNC,NA,
DAMAGED GLASS DOOR,7/13/17 10:26,2017,07/13,LINEBERGER CANCER RES UNC,NA,
INFORMATIONAL,7/13/17 12:08,2017,07/13,BURNETT WOMACK UNC,NA,
EMS ASSIST,7/13/17 15:25,2017,07/13,TAYLOR CAMPUS HEALTH UNC,NA,
FOUND PROPERTY,7/13/17 8:22,2017,07/13,MUNICIPAL DR,NA,
WARNING OF TRESPASS,7/13/18 13:02,2018,07/13,GRAHAM STUDENT UNION UNC,NA,
VANDALISM / PROPERTY DAMAGE,7/13/18 16:38,2018,07/13,PUBLIC SAFETY BUILDING UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/13/18 17:59,2018,07/13,MASON FARM RD,NA,
MISSING PERSONS,7/13/18 21:59,2018,07/13,HOSPITALS UNIV OF NC UNC,NA,
WARNING OF TRESPASS,7/13/18 9:55,2018,07/13,KENAN MUSIC CENTER UNC,NA,
,7/14/13 0:00,2013,07/14,S1 LOT,NA,
,7/14/13 0:00,2013,07/14,RAMS HEAD RECREATION UNC,NA,
,7/14/14 0:00,2014,07/14,WHITEHEAD UNC,NA,
,7/14/14 0:00,2014,07/14,1 N MEDICAL DR// BRINKH,NA,
,7/14/14 0:00,2014,07/14,COUNTRY CLUB RD / GIMGHOUL RD,NA,
LARCENY - FROM BUILDING,7/14/14 10:31,2014,07/14,LOUDERMILK CENTER FOR EXC UNC,NA,
LARCENY-ALL OTHER,7/14/14 14:56,2014,07/14,COBB PARKING DECK UNC,NA,
,7/14/15 0:00,2015,07/14,LENOIR UNC,NA,
,7/14/15 0:00,2015,07/14,DOGWOOD PARKING DECK UNC,NA,
,7/14/15 0:00,2015,07/14,CANCER  HOSPITAL PARKING LOT,NA,
POSSESSION OF LESS THAN 1/2 OZ MARIJUANA,7/14/15 10:47,2015,07/14,S COLUMBIA ST/W CAMERON AVE,NA,
"MV THEFT - ALL OTHER (MOTORCYCLES, GOLF CARTS, MOPEDS, ETC)",7/14/15 14:13,2015,07/14,KENAN STADIUM UNC,NA,
LARCENY OF BICYCLE,7/14/15 18:16,2015,07/14,LENOIR UNC,NA,
LARCENY OF BICYCLE,7/14/15 19:31,2015,07/14,HOUSE LIBRARY R B UNC,NA,
,7/14/16 0:00,2016,07/14,HA I CARDINAL PARKING UNC,NA,
CALLS FOR SERVICE,7/14/16 12:26,2016,07/14,HANES ART CENTER UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/14/16 15:46,2016,07/14,OLD CLINIC UNC,NA,
WELL-BEING CHECK,7/14/17 0:00,2017,07/14,BAITY HILL UNC,NA,
LARCENY OF BICYCLE,7/14/17 13:12,2017,07/14,GRAHAM STUDENT UNION UNC,NA,
EMS ASSIST,7/14/17 13:16,2017,07/14,BRAUER UNC,NA,
CHECKPOINT,7/14/18 10:38,2018,07/14,COUNTRY CLUB RD,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/14/18 18:03,2018,07/14,PAUL GREEN THEATRE UNC,NA,
SIMPLE POSSESSION OF MARIJUANA,7/14/18 23:17,2018,07/14,COUNTRY CLUB RD,NA,
,7/15/13 0:00,2013,07/15,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
PROPERTY DAMAGE,7/15/13 11:13,2013,07/15,COUNTRY CLUB RD/PAUL GREEN THEATER DR,NA,
"ODOR CHEMICAL, GAS",7/15/13 11:57,2013,07/15,BURNETT WOMACK UNC,NA,
EMS ASSIST,7/15/13 23:29,2013,07/15,KENAN STADIUM UNC,NA,
,7/15/14 0:00,2014,07/15,JACKSON HALL UNC,NA,
,7/15/14 0:00,2014,07/15,HOSPITALS UNIV OF NC UNC,NA,
,7/15/14 0:00,2014,07/15,AYCOCK CIRCLE PARKING LOT UNC,NA,
,7/15/14 0:00,2014,07/15,S COLUMBIA ST,NA,
LARCENY - FROM BUILDING,7/15/14 11:44,2014,07/15,COKER UNC,NA,
INFORMATIONAL,7/15/14 12:58,2014,07/15,ROSENAU UNC,NA,
CALLS FOR SERVICE,7/15/14 16:48,2014,07/15,TAYLOR CAMPUS HEALTH UNC,NA,
EMS ASSIST,7/15/14 16:55,2014,07/15,HAMILTON UNC,NA,
ASSIST OTHER AGENCY,7/15/15 0:00,2015,07/15,MANNING DR,NA,
LARCENY OF BICYCLE,7/15/15 18:23,2015,07/15,MANNING UNC,NA,
LARCENY OF BICYCLE,7/15/15 20:22,2015,07/15,GREENLAW UNC,NA,
HIT & RUN,7/15/15 4:17,2015,07/15,MANNING DR/WEST DR,NA,
EMS ASSIST,7/15/16 11:31,2016,07/15,STONE CENTER UNC,NA,
"B&E, LARCENY FROM A VEHICLE",7/15/16 15:48,2016,07/15,MEADOWMONT (DUBOSE) UNC,NA,
PROPERTY DAMAGE,7/15/17 2:03,2017,07/15,E FRANKLIN ST,NA,
LARCENY - FROM MOTOR VEHICLE (B&E),7/15/18 1:33,2018,07/15,PORTHOLE PARKING LOT UNC,NA,
SIMPLE POSSESSION OF MARIJUANA,7/15/18 3:12,2018,07/15,RALEIGH RD,NA,
POSSESSION OF LESS THAN 1/2 OZ MARIJUANA,7/16/13 0:00,2013,07/16,RALEIGH RD,NA,
,7/16/13 0:00,2013,07/16,AMBULATORY CARE CENTER UNC,NA,
,7/16/13 0:00,2013,07/16,BATTLE AND COUNTRY CLUB,NA,
,7/16/13 0:00,2013,07/16,HOSPITALS UNIV OF NC UNC,NA,
,7/16/13 0:00,2013,07/16,FRIDAY CENTER PARK AND RIDE,NA,
,7/16/13 0:00,2013,07/16,PUBLIC SAFETY UNC,NA,
DRUG VIOLATION I FELONY POSSESSION OF COCAINE,7/16/13 10:31,2013,07/16,HAMILTON UNC,NA,
HARASSMENT BY EMAIL,7/16/14 0:00,2014,07/16,BYNUM UNC,NA,
,7/16/14 0:00,2014,07/16,AYCOCK FAMILY MEDICINE UNC,NA,
,7/16/14 0:00,2014,07/16,COUNTRY CLUB RD/BOUNDARY ST,NA,
LARCENY OF BICYCLE,7/16/14 14:30,2014,07/16,VENABLE UNC,NA,
ASSAULT - COMMUNICATE THREATS,7/16/14 15:05,2014,07/16,BIOINFORMATICS BLDG UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/16/14 9:53,2014,07/16,SASB NORTH UNC,NA,
,7/16/15 0:00,2015,07/16,RALEIGH RD / QUAIL HILL CT,NA,
,7/16/15 0:00,2015,07/16,NAVY FIELD PARKING LOT UNC,NA,
DWI - DRUGS,7/16/15 10:30,2015,07/16,RALEIGH RD,NA,
LARCENY OF BICYCLE,7/16/15 11:11,2015,07/16,RAMS VILLAGE,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/16/15 11:34,2015,07/16,BROOKS HALL UNC,NA,
LARCENY OF BICYCLE,7/16/15 15:16,2015,07/16,MURPHEY UNC,NA,
LARCENY OF BICYCLE,7/16/15 18:02,2015,07/16,ABERNETHY UNC,NA,
INFORMATIONAL,7/16/15 23:24,2015,07/16,DOGWOOD PARKING DECK UNC,NA,
LARCENY OF BICYCLE,7/16/15 9:42,2015,07/16,CHAPMAN HALL UNC,NA,
STRONG ARM ROBBERY,7/16/16 0:00,2016,07/16,PORTHOLE PARKING LOT UNC,NA,
,7/16/16 0:00,2016,07/16,DOGWOOD PARKING DECK UNC,NA,
LARCENY FROM PERSON,7/16/16 19:39,2016,07/16,MANNING DR / HOSPITAL,NA,
EMS ASSIST,7/16/16 20:18,2016,07/16,HILL ALUMNI CENTER UNC,NA,
BLACKMAIL / EXTORTION,7/16/16 23:47,2016,07/16,SPENCER RES HALL UNC,RES HALL,
ASSAULT - ALL OTHER SIMPLE ASSAULT,7/16/16 7:38,2016,07/16,CAMERON AND COLUMBIA,NA,
,7/16/17 0:00,2017,07/16,PITTSBORO ST/MCCAULEY ST,NA,
LARCENY OF BICYCLE,7/16/17 13:04,2017,07/16,GARDNER UNC,NA,
VANDALISM / PROPERTY DAMAGE,7/16/17 13:40,2017,07/16,BINGHAM HALL UNC,NA,
FOUND PROPERTY,7/16/17 17:38,2017,07/16,DOGWOOD PARKING DECK UNC,NA,
B & E,7/16/17 18:58,2017,07/16,GRANVILLE TOWERS,GRANVILLE,
EMS ASSIST,7/16/17 19:58,2017,07/16,PHILLIPS UNC,NA,
FIRE ALARM,7/16/17 22:54,2017,07/16,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
PROPERTY DAMAGE,7/16/18 0:00,2018,07/16,RIDGE RD,NA,
VOLUNTARY COMMITMENT,7/16/18 11:51,2018,07/16,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
FOUND PROPERTY,7/16/18 18:21,2018,07/16,MARSICO HALL UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/16/18 19:41,2018,07/16,RAMS HEAD DINING HALL UNC,NA,
WARNING OF TRESPASS,7/16/18 4:28,2018,07/16,VENABLE UNC,NA,
VANDALISM / PROPERTY DAMAGE,7/16/18 8:32,2018,07/16,R2 PARKING LOT (ADMINISTRATIVE OFFICE BUILDING),NA,
,7/17/13 0:00,2013,07/17,1 MANNING/ CRAIGE DECK,NA,
ASSAULT - COMMUNICATE THREATS,7/17/13 13:16,2013,07/17,AMBULATORY CARE CENTER UNC,NA,
DWI-ALCOHOL,7/17/13 3:43,2013,07/17,RALEIGH ST / E CAMERON AVE,NA,DWI-ALCOHOL
EMS ASSIST,7/17/13 9:14,2013,07/17,TAYLOR CAMPUS HEALTH UNC,NA,
,7/17/14 0:00,2014,07/17,COUNTRY CLUB RD / COBB DR,NA,
EMS ASSIST,7/17/14 12:10,2014,07/17,FRANK PORTER GRAHAM STUDENT UNION,NA,
LARCENY OF BICYCLE,7/17/14 17:23,2014,07/17,SPENCER RES HALL UNC,RES HALL,
LARCENY OF BICYCLE,7/17/14 20:01,2014,07/17,MOREHEAD CHEMISTRY LAB UNC,NA,
VANDALISM / PROPERTY DAMAGE,7/17/14 21:00,2014,07/17,MEMORIAL HALL UNC,NA,
,7/17/15 0:00,2015,07/17,KENAN STADIUM UNC,NA,
EMS ASSIST,7/17/15 11:07,2015,07/17,ALLEN CENTER UNC,NA,
INFORMATIONAL,7/17/15 18:30,2015,07/17,BERRYHILL UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/17/15 7:30,2015,07/17,BIOINFORMATICS BLDG UNC,NA,
POSSESSION OF LESS THAN 1/2 OZ MARIJUANA,7/17/17 0:00,2017,07/17,MANNING DR/SKIPPER BOWLES DR,NA,
PROPERTY DAMAGE,7/17/17 12:49,2017,07/17,HOOKER FIELDS UNC,NA,
EMS ASSIST,7/17/18 0:00,2018,07/17,S COLUMBIA ST,NA,
LARCENY OF BICYCLE,7/17/18 0:00,2018,07/17,STUDENT RECREATION CENTER UNC,NA,
INFORMATIONAL,7/17/18 14:52,2018,07/17,S COLUMBIA ST/MANNING DR,NA,
EMS ASSIST,7/17/18 15:00,2018,07/17,PITTSBORO ST / MCCAULEY ST,NA,
VANDALISM / PROPERTY DAMAGE,7/17/18 17:34,2018,07/17,SASB NORTH UNC,NA,
LARCENY - FROM BUILDING,7/17/18 3:54,2018,07/17,BAITY HILL UNC,NA,
FOUND PROPERTY,7/17/18 8:55,2018,07/17,P2P PARKING LOT,NA,
,7/18/13 0:00,2013,07/18,HOSPITALS UNIV OF NC UNC,NA,
LOST PROPERTY,7/18/13 10:40,2013,07/18,AYCOCK FAMILY MEDICINE UNC,NA,
LARCENY OF BICYCLE,7/18/14 0:00,2014,07/18,RAMS HEAD PARKING DECK UNC,NA,
,7/18/14 0:00,2014,07/18,MANNING DR/S FORDHAM BLVD,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/18/14 10:20,2014,07/18,BOTANICAL GARDEN UNC,NA,
,7/18/15 0:00,2015,07/18,S COLUMBIA/ SITTERSON,NA,
,7/18/15 0:00,2015,07/18,DOGWOOD PARKING DECK UNC,NA,
LOST PROPERTY,7/18/15 10:20,2015,07/18,DOGWOOD PARKING DECK UNC,NA,
EMS ASSIST,7/18/15 13:06,2015,07/18,RAMS VILLAGE,NA,
PROPERTY DAMAGE,7/18/15 13:09,2015,07/18,ODUM VILLAGE UNC,NA,
PROPERTY DAMAGE,7/18/15 3:41,2015,07/18,SCHL OF GOV PARKING DECK UNC,NA,
,7/18/16 0:00,2016,07/18,RAMS HEAD PARKING DECK UNC,NA,
,7/18/16 0:00,2016,07/18,BEARD HALL UNC,NA,
,7/18/16 0:00,2016,07/18,PUBLIC SAFETY BUILDING UNC,NA,
,7/18/16 0:00,2016,07/18,RAMS HEAD PARKING DECK UNC,NA,
,7/18/16 0:00,2016,07/18,GRAHAM STUDENT UNION UNC,NA,
,7/18/16 0:00,2016,07/18,PHYSICIANS OFFICE BUILDING UNC,NA,
HARASSMENT,7/18/16 12:23,2016,07/18,PUBLIC SAFETY BUILDING UNC,NA,
VANDALISM / PROPERTY DAMAGE,7/18/16 13:31,2016,07/18,MEMORIAL HALL UNC,NA,
,7/18/17 0:00,2017,07/18,PITTSBORO ST,NA,
,7/18/17 0:00,2017,07/18,DAVIE UNC,NA,
,7/18/17 0:00,2017,07/18,RIDGE RD / BOSHAMER,NA,
,7/18/17 0:00,2017,07/18,DOGWOOD PARKING DECK UNC,NA,
SATURATION PATROL,7/18/17 10:15,2017,07/18,MLK / HOMESTEAD,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/18/17 12:22,2017,07/18,WILSON LIBRARY UNC,NA,
LARCENY OF BICYCLE,7/18/17 14:54,2017,07/18,ALDERMAN RES HALL UNC,RES HALL,
FOUND PROPERTY,7/18/17 16:51,2017,07/18,HOSPITALS UNIV OF NC UNC,NA,
HARASSMENT,7/18/17 18:20,2017,07/18,HOUSE LIBRARY R B UNC,NA,
EMS ASSIST,7/18/17 20:41,2017,07/18,CAROLINA NORTH UNC,NA,
ASSAULT ON FEMALE,7/18/18 23:00,2018,07/18,GRADUATE STUDENT CENTER UNC,NA,
,7/19/13 0:00,2013,07/19,PUBLIC SAFETY BUILDING UNC,NA,
LARCENY - SHOPLIFTING,7/19/13 11:33,2013,07/19,DANIELS STUDENT STORES UNC,NA,
VANDALISM / PROPERTY DAMAGE,7/19/13 17:28,2013,07/19,DOGWOOD PARKING DECK UNC,NA,
EMS ASSIST,7/19/13 2:51,2013,07/19,PITTSBORO ST,NA,
LARCENY OF BICYCLE,7/19/15 21:09,2015,07/19,MOREHEAD CHEMISTRY LAB UNC,NA,
CLERY ALLEGATION OF FONDLING - SEXUAL ASSAULT,7/19/16 0:00,2016,07/19,MOREHEAD PLANETARIUM UNC,NA,
EMS ASSIST,7/19/16 12:31,2016,07/19,BURNETT WOMACK UNC,NA,
COMMUNICATING THREATS,7/19/16 13:20,2016,07/19,ENERGY SERVICES BLDG UNC,NA,
ASSIST OTHER AGENCY,7/19/16 3:17,2016,07/19,COATES BLDG UNC,NA,
CLERY - REPORT RAPE,7/19/17 0:00,2017,07/19,PUBLIC SAFETY BUILDING UNC,NA,
CLERY - REPORT RAPE,7/19/17 0:00,2017,07/19,HINTON JAMES RES HALL UNC,RES HALL,
,7/19/17 0:00,2017,07/19,MANNING DR/SKIPPER BOWLES DR,NA,
,7/19/17 0:00,2017,07/19,MANNING DR/EAST DR,NA,
,7/19/17 0:00,2017,07/19,MANNING DR / HIBBARD DR,NA,
,7/19/17 0:00,2017,07/19,DOGWOOD PARKING DECK UNC,NA,
FOUND PROPERTY,7/19/17 0:12,2017,07/19,MANNING PARKING LOT UNC,NA,
LARCENY OF BACK PACK BLOWER,7/19/17 13:31,2017,07/19,CHATHAM COUNTY PARK AND RIDE,NA,
LOST PROPERTY,7/19/17 15:48,2017,07/19,THE PIT UNC,NA,
LARCENY-ALL OTHER,7/19/17 9:23,2017,07/19,MOREHEAD PLANETARIUM UNC,NA,
EMGERENCY COMMITMENT,7/19/18 17:39,2018,07/19,AYCOCK FAMILY MEDICINE UNC,NA,
FOUND PROPERTY,7/19/18 18:26,2018,07/19,JOYNER RES HALL UNC,RES HALL,
LARCENY - AUTO PART & ACCESSORIES,7/19/18 20:07,2018,07/19,HA I CARDINAL PARKING UNC,NA,
FOUND PROPERTY,7/19/18 21:04,2018,07/19,PEABODY UNC,NA,
,7/2/13 0:00,2013,07/02,S COLUMBIA ST,NA,
,7/2/13 0:00,2013,07/02,CRAIGE RES HALL UNC,RES HALL,
,7/2/13 0:00,2013,07/02,SURPLUS PROPERTY WAREHOUSE UNC,NA,
,7/2/13 0:00,2013,07/02,KENAN FOOTBALL STADIUM,NA,
ASSIST CITIZEN,7/2/13 16:03,2013,07/02,DOGWOOD PARKING DECK UNC,NA,
,7/2/14 0:00,2014,07/02,COBB PARKING DECK UNC,NA,
PROPERTY DAMAGE,7/2/14 16:15,2014,07/02,ITS FRANKLIN UNC,NA,
WARNING OF TRESPASS,7/2/14 19:59,2014,07/02,DAVIS WALTER R LIBRARY UNC,NA,
,7/2/15 0:00,2015,07/02,PITTSBORO ST,NA,
,7/2/15 0:00,2015,07/02,DOGWOOD PARKING DECK UNC,NA,
TRESPASSING,7/2/15 15:08,2015,07/02,PUBLIC SAFETY BUILDING UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/2/15 18:11,2015,07/02,ITS MANNING UNC,NA,
ASSIST OTHER AGENCY,7/2/15 19:47,2015,07/02,W CAMERON AVE,NA,
CONCEALED FIREARM,7/2/16 16:53,2016,07/02,MANNING DR/EAST DR,NA,
POSSESS AND CONSUME MALT BEVERAGE ON ED,7/2/16 18:02,2016,07/02,MCCORKLE PLACE UNC,NA,
,7/2/17 0:00,2017,07/02,COUNTRY CLUB RD/BATTLE LN,NA,
INFORMATIONAL,7/2/17 13:15,2017,07/02,W FRANKLIN ST,NA,
EMS ASSIST,7/2/17 17:41,2017,07/02,RAM VILLAGE 5 AT 520 WILLIAMSON UNC,NA,
FRAUD - OBTAINING MONEY/PROPERTY BY FALSE PRETENSE,7/2/18 12:09,2018,07/02,ADMINISTRATIVE OFFICE BLDG UNC,NA,
LARCENY-ALL OTHER,7/2/18 16:03,2018,07/02,HOUSE LIBRARY R B UNC,NA,
WARNING OF TRESPASS,7/2/18 19:26,2018,07/02,CARROLL HALL UNC,NA,
TRAFFIC (EXCEPT DWI),7/2/18 21:46,2018,07/02,MANNING DR/S FORDHAM BLVD,NA,
EMS ASSIST,7/2/18 7:01,2018,07/02,S COLUMBIA ST,NA,
VOLUNTARY COMMITMENT,7/20/13 0:26,2013,07/20,DAVIE UNC,NA,
RAPE - FORCIBLE,7/20/14 0:00,2014,07/20,SPENCER RES HALL UNC,RES HALL,
LARCENY - FROM BUILDING,7/20/15 11:48,2015,07/20,LOUDERMILK CENTER FOR EXC UNC,NA,
LARCENY OF BICYCLE,7/20/15 19:31,2015,07/20,STUDENT RECREATION CENTER UNC,NA,
NATURAL GAS ODOR AT MCCASKILL,7/20/15 21:08,2015,07/20,MCCASKILL SOCCER CENTER UNC,NA,
,7/20/16 0:00,2016,07/20,DOGWOOD PARKING DECK UNC,NA,
SUSPICIOUS CONDITION (CRIMINAL),7/20/16 10:17,2016,07/20,ITS MANNING UNC,NA,
CALLS FOR SERVICE,7/20/16 16:02,2016,07/20,TAYLOR CAMPUS HEALTH UNC,NA,
EMS ASSIST,7/20/16 22:45,2016,07/20,RONALD MCDONALD HOUSE UNC,NA,
ASSIST OTHER AGENCY,7/20/16 8:18,2016,07/20,AMBULATORY CARE CENTER UNC,NA,
MARIJUANA UP TO 1/2 OZ,7/20/17 0:00,2017,07/20,RIDGE RD,NA,
,7/20/17 0:00,2017,07/20,E CAMERON AVE/EMERSON DR,NA,
,7/20/17 0:00,2017,07/20,HORNEY GILES F BLDG UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/20/17 14:38,2017,07/20,CRAIGE PARKING DECK UNC,NA,
VANDALISM / PROPERTY DAMAGE,7/20/17 14:38,2017,07/20,FETZER GYM ROBERT A UNC,NA,
POSSESSION OF LESS THAN 1/2 OZ MARIJUANA,7/20/17 16:18,2017,07/20,SOUTH COLUMBIA /MASON FR RD,NA,
EMS ASSIST,7/20/17 17:01,2017,07/20,AMBULATORY CARE CENTER UNC,NA,
INVOLUNTARY COMMITMENT,7/20/18 11:38,2018,07/20,AYCOCK FAMILY MEDICINE UNC,NA,
FOUND PROPERTY,7/20/18 8:16,2018,07/20,COBB CHILLER PLANT UNC,NA,
,7/21/13 0:00,2013,07/21,AYCOCK CIRCLE PARKING LOT UNC,NA,
,7/21/13 0:00,2013,07/21,,NA,
EMS ASSIST,7/21/13 10:47,2013,07/21,CAROLINA INN UNC,NA,
VANDALISM - INJURIES OR TAMPERS WITH VEHICLE,7/21/13 17:28,2013,07/21,EHRINGHAUS RES HALL,RES HALL,
"B&E, LARCENY FROM A VEHICLE",7/21/13 19:03,2013,07/21,ALDERMAN RES HALL UNC,RES HALL,
,7/21/14 0:00,2014,07/21,EPA BUILDING UNC,NA,
EMS ASSIST,7/21/14 10:01,2014,07/21,BRINKHOUS BULLITT UNC,NA,
CALLS FOR SERVICE,7/21/14 11:39,2014,07/21,PUBLIC SAFETY BUILDING UNC,NA,
,7/21/15 0:00,2015,07/21,SOUTH RD / BELL TOWER,NA,
,7/21/15 0:00,2015,07/21,CAROLINA INN UNC,NA,
ASSAULT-PHYSICAL (NON-AGGRAVATED),7/21/15 10:53,2015,07/21,MANNING DR / FORDHAM BLVD,NA,
DOWN POWER LINES,7/21/15 22:13,2015,07/21,PARK PLACE PARKING LOT UNC,NA,
ASSIST OTHER AGENCY,7/21/16 11:52,2016,07/21,AMBULATORY CARE CENTER UNC,NA,
SATURATION PATROL,7/21/16 7:37,2016,07/21,RALEIGH RD/GREENWOOD RD,NA,
,7/21/17 0:00,2017,07/21,RIDGE RD / STADIUM DR,NA,
DOMESTIC DISPUTE,7/21/17 1:40,2017,07/21,RONALD MCDONALD HOUSE UNC,NA,
CALLS FOR SERVICE,7/21/17 15:20,2017,07/21,MANNING DR / HOSPITAL,NA,
SUSPICIOUS PERSON,7/21/17 5:39,2017,07/21,GENOMIC SCIENCES RESEARCH UNC,NA,
FOUND PROPERTY,7/21/17 9:01,2017,07/21,MITCHELL UNC,NA,
FOUND PROPERTY,7/21/18 14:38,2018,07/21,MCCORKLE PLACE UNC,NA,
SUSPICIOUS CONDITION (NON-CRIMINAL),7/21/18 16:42,2018,07/21,MEADOWMONT (DUBOSE) UNC,NA,
HARASSMENT,7/22/13 0:00,2013,07/22,PUBLIC SAFETY BUILDING UNC,NA,
,7/22/13 0:00,2013,07/22,GRANVILLE TOWERS,GRANVILLE,
,7/22/13 0:00,2013,07/22,CARRINGTON HALL BUS STOP ON COLUMBIA,NA,
,7/22/13 0:00,2013,07/22,STADIUM DRIVE PARKING LOT UNC,NA,
VANDALISM / PROPERTY DAMAGE,7/22/13 11:13,2013,07/22,FRANK PORTER GRAHAM CHILD DEV UNC,NA,
LARCENY - FROM BUILDING,7/22/13 14:24,2013,07/22,PUBLIC SAFETY BUILDING UNC,NA,
ASSAULT - COMMUNICATE THREATS,7/22/13 16:29,2013,07/22,BAITY HILL UNC,NA,
B & E FORCIBLE ENTRY,7/22/13 16:50,2013,07/22,GRIMES RES HALL UNC,RES HALL,
,7/22/14 0:00,2014,07/22,MEADOWMONT (DUBOSE) UNC,NA,
,7/22/14 0:00,2014,07/22,HA I CARDINAL PARKING UNC,NA,
,7/22/14 0:00,2014,07/22,AYCOCK CIRCLE PARKING LOT UNC,NA,
LOST PROPERTY,7/22/14 14:43,2014,07/22,AMBULATORY CARE CENTER UNC,NA,
SPEED OF 45 MPH IN A 25 MPH ZONE.,7/22/14 22:35,2014,07/22,TAYLOR CAMPUS HEALTH UNC,NA,
EMS ASSIST,7/22/15 0:00,2015,07/22,KENAN STADIUM UNC,NA,
,7/22/15 0:00,2015,07/22,RALEIGH RD PARKING LOT,NA,
EMS ASSIST,7/22/15 11:21,2015,07/22,EHRINGHAUS FIELDS UNC,NA,
LARCENY - FROM BUILDING,7/22/15 12:38,2015,07/22,BRAUER UNC,NA,
LARCENY OF BICYCLE,7/22/15 16:17,2015,07/22,TAYLOR CAMPUS HEALTH UNC,NA,
EMS ASSIST,7/22/15 19:10,2015,07/22,NORTH CAMPUS REC COMPLEX UNC,NA,
ASSIST AGENCY TOWN OF CHAPEL HILL PD,7/22/15 2:00,2015,07/22,E FRANKLIN ST,NA,
VANDALISM / PROPERTY DAMAGE,7/22/15 2:32,2015,07/22,EAST FRANKLIN STREET,NA,
LARCENY OF BICYCLE,7/22/15 20:25,2015,07/22,HOSPITALS UNIV OF NC UNC,NA,
ARMED ROBBERY,7/22/15 22:45,2015,07/22,AYCOCK RES HALL UNC,RES HALL,
ARMED ROBBERY,7/22/15 23:33,2015,07/22,AYCOCK RES HALL UNC,RES HALL,
CARRYING A CONCEALED WEAPON,7/22/15 3:14,2015,07/22,PORTHOLE PARKING LOT UNC,NA,
,7/22/16 0:00,2016,07/22,SOUTH RD / STADIUM DR,NA,
,7/22/16 0:00,2016,07/22,S COLUMBIA ST/W CAMERON AVE,NA,
EMS ASSIST,7/22/16 0:45,2016,07/22,ALDERMAN RES HALL UNC,RES HALL,
LARCENY-ALL OTHER,7/22/16 0:58,2016,07/22,BRINKHOUS BULLITT UNC,NA,
ASSIST CITIZEN,7/22/16 22:18,2016,07/22,HOSPITALS UNIV OF NC UNC,NA,
"B&E, LARCENY FROM A VEHICLE",7/22/17 10:00,2017,07/22,BAITY HILL UNC,NA,
ANIMAL COMPLAINT,7/22/17 10:01,2017,07/22,BOTANICAL GARDEN UNC,NA,
WARNING OF TRESPASS,7/22/17 12:37,2017,07/22,DAVIS WALTER R LIBRARY UNC,NA,
